# {"t_start": 1661443862.23993, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,275,94.951735
0.0,127,95.163259
0.0,127,95.40654
5.0,351,95.972746
4.0,315,96.504835
3.0,246,96.913498
0.0,125,97.119128
4.0,301,97.736881
0.0,125,97.945801
3.0,232,98.33414
0.0,125,98.61941
1.0,155,98.87807
2.0,220,99.243907
1.0,153,99.493267
0.0,127,99.714677
2.0,225,100.085562
3.0,249,100.486635
2.0,203,100.818446
1.0,173,101.122037
2.0,218,101.529033
2.0,221,101.854052
0.0,127,102.07334
2.0,200,102.360541
1.0,173,102.63082
1.0,157,102.929649
2.0,201,103.262204
0.0,125,103.47261
0.0,127,103.678473
2.0,201,104.009171
1.0,175,104.297188
3.0,216,104.720009
1.0,175,105.028521
3.0,270,105.447002
1.0,157,105.706613
0.0,125,105.915287
1.0,155,106.142317
2.0,224,106.521447
2.0,204,106.827987
0.0,127,107.017304
4.0,301,107.496562
1.0,153,107.750396
1.0,157,108.035792
12.0,475,108.783747
3.0,248,109.150517
2.0,222,109.577785
6.0,350,110.156881
2.0,219,110.511695
2.0,204,110.868721
0.0,127,111.12777
1.0,153,111.38055
0.0,129,111.586951
2.0,222,111.966716
0.0,129,112.180487
3.0,255,112.707206
1.0,153,112.941339
0.0,127,113.13178
2.0,225,113.502604
0.0,129,113.71012
1.0,155,113.950451
1.0,174,114.22808
0.0,127,114.407868
1.0,153,114.65528
1.0,152,114.89306
4.0,318,115.404922
1.0,173,115.67681
0.0,127,115.886984
0.0,123,116.087929
0.0,125,116.276996
3.0,252,116.70104
0.0,129,116.909324
2.0,220,117.279598
2.0,201,117.600111
2.0,205,117.943639
1.0,157,118.22278
3.0,268,118.660119
2.0,222,119.003622
0.0,129,119.19983
3.0,252,119.665326
4.0,301,120.142565
2.0,222,120.514202
0.0,125,120.703663
2.0,200,121.060849
0.0,125,121.261333
1.0,173,121.530836
1.0,151,121.774763
1.0,173,122.059942
0.0,123,122.271622
3.0,272,122.709562
4.0,319,123.252641
1.0,173,123.510518
0.0,125,123.716405
2.0,220,124.079963
1.0,157,124.322557
2.0,201,124.716331
0.0,125,124.957781
3.0,233,125.343465
1.0,157,125.603252
2.0,226,125.998456
0.0,127,126.221123
1.0,173,126.567374
3.0,270,127.075668
1.0,174,127.365381
1.0,155,127.667627
1.0,173,128.023565
0.0,127,128.265085
5.0,350,128.832211
0.0,129,129.067142
